,estimated_distance,date,n_dispersion,dispersion_length,chisq,rsquare,dof,energy,model_field_line_length_idl,TIME,GSM_X,GSM_Y,GSM_Z,MLT,L,STORM_PHASE,BX_GSM,DIST,BETA,datetime_str,KP,SW_P,DST,IMF_BY,IMF_BZ,direction,p_value,region,index,location,direction_et,dispersion_time
0,0.3652541095648664,2019-06-28,2.0,4,3.536097891224464,0.9363598039686896,2.0,5.080197036266325,5.477626399135486,1561749600.0,-0.5300120656456684,-5.411117950508801,-1.7692445175427143,6.316289593092483,6.333446318897826,0.0,66.66903972625732,5.717893170403704,0.0199807091778115,2019-06-28 19:17:00,1.0,0.6262500137090683,-7.0,-3.5437499880790706,-0.569999985396862,PARA,0.17066564215748692,Lobe,0,south,outward,8.0
1,0.4349538648925086,2019-04-09,1.0,4,11.55278718618547,0.9483248868516508,2.0,180.2158659696579,5.833300536470325,1554791040.0,5.453445777453738,-1.3414128907341016,-1.44257816511238,11.073522217562878,6.243969019507157,0.0,112.67893600463867,5.798507364553368,0.05496791300004818,2019-04-09 06:21:00,2.3,1.4699999888737993,-17.625,-4.197499930858612,0.7362499833106994,PARA,0.003099874683167747,Dayside,1,south,outward,8.0
2,0.4886901015009526,2019-11-12,5.0,4,7.309333786760905,0.9267531374547724,2.0,10.197194576263428,3.2129801527829147,1573557840.0,-2.9946597580840297,0.024441092562682176,-2.304317644228684,11.976491719144166,4.394608314443187,0.0,-697.7693328857422,3.779600593315366,6.809133406473431e-05,2019-11-12 11:21:00,0.58,1.9050000111262004,-2.875,-4.9100000858306885,8.595000505447388,PARA,0.025870113554124163,Dayside,2,south,outward,8.0
3,0.494546124347441,2019-05-10,2.0,4,1.359704961571556,0.9484407285581204,2.0,3.492776572704315,5.321227578321854,1557514920.0,3.581992855673369,-2.615522081478203,-2.2859982064435083,9.879724106745766,5.039714931067614,2.0,172.966682434082,4.990108480744699,0.0045444898626736,2019-05-10 18:59:00,2.7,4.026250004768372,2.5,-8.049999952316284,-1.8112499713897705,PARA,0.5066917336189648,Dayside,3,south,outward,8.0
4,0.4946651569983476,2019-05-17,6.0,4,1.359704295271438,0.9484407307933452,2.0,3.4927769899368286,5.82395000923154,1558119120.0,3.2929491384341496,-3.5812081086197853,-2.4672974007602395,9.23878927820327,5.533845599263135,0.0,132.12654304504392,5.455221507358327,0.02136366809898445,2019-05-17 18:49:00,0.3,1.1849999725818634,-6.25,3.7699999809265137,2.6387499570846553,PARA,0.5066919024233738,Dayside,4,south,outward,8.0
5,0.4946686186828718,2016-02-01,1.0,4,1.42193831220879,0.9484407307933452,2.0,3.4927769899368286,6.234969061715963,1454317080.0,6.03789220670404,-2.251987007764381,-0.7572027522961036,10.46832475879538,8.198018162260173,3.0,80.87247848510742,6.488641519139142,0.14848320306174634,2016-02-01 08:55:00,2.3,3.6499999165534973,-47.0,-3.659999907016754,-1.8199999928474424,PARA,0.4911679483029717,Dayside,5,south,outward,8.0
6,0.5064192171347868,2019-08-02,2.0,4,11.14788927801457,0.9478758241885118,2.0,7.899967074394225,5.909321703579035,1564776480.0,-4.11291813225029,-4.647537792822353,-1.0491818423621675,3.622448596595071,7.61178488801954,0.0,-59.23249340057373,6.2943385877834075,0.04725614760738435,2019-08-02 20:05:00,0.3533333333333334,,1.875,0.9983333349227906,0.503333310286204,PARA,0.003795479069773622,Lobe,6,south,outward,8.0
7,0.5088687533676165,2019-05-31,1.0,4,14.01553209194229,0.9475001183605826,2.0,20.805879712104797,5.614074703731228,1559329080.0,2.1698018718552587,-4.425559272987774,-2.432371364320703,8.32992153929498,5.690391838496486,0.0,131.34093856811523,5.496667297611495,0.03235867912128235,2019-05-31 18:55:00,0.7,0.746666669845581,-11.0,-1.6174999773502348,-0.8587499856948853,PARA,0.0009048276757138707,Dayside,7,south,outward,8.0
8,0.5220621204523149,2019-08-06,3.0,5,8.08120723709853,0.9867150816666219,3.0,17.347774982452393,7.109472598060971,1565078700.0,-4.660369849383383,-4.671205648732264,0.16715020275325307,3.022455314584773,6.65966581574868,3.0,-8.351094818115234,6.600751714119582,0.315144763106989,2019-08-06 08:01:00,2.0833333333333335,1.8169999837875366,-30.0,1.0100000262260438,-1.5190000057220459,PARA,0.04436287452744736,BL,8,north,outward,10.0
9,0.5862181221528571,2016-11-27,1.0,4,5.886069981625961,0.9812221281730132,2.0,21.2241889834404,8.63715989895681,1480283160.0,2.7792303675383794,5.94569613445168,1.3925262683302626,16.174368230651723,6.728429251586336,0.0,-39.779197692871094,6.709398608234734,0.19270304936803673,2016-11-27 21:43:00,2.3,1.4650000035762785,-10.375,3.8137500286102295,-2.1475000083446507,PARA,0.05270552496876435,BL,9,north,earthward,8.0
